iter	RMSE
0	0.4782228526
1	0.4720343893
2	0.4660169143
3	0.4611098169
4	0.4561763184
5	0.4508541342
6	0.4455864154
7	0.4408172084
8	0.4356035616
9	0.4308459781
10	0.4268498722
11	0.4235503283
12	0.4189794276
13	0.4156163064
14	0.4133417924
15	0.40952689
16	0.4059254314
17	0.4026761136
18	0.3989728754
19	0.3959694655
20	0.3930188361
21	0.3905409621
22	0.3878805715
23	0.3865695069
24	0.3841808599
25	0.3830359109
26	0.3814278083
27	0.3789805789
28	0.37750465729	0.3837903478
30	0.3826857123
31	0.3808445325
32	0.3790926356
33	0.3776104603
34	0.3760030094
35	0.3754468777
36	0.3743920068
37	0.373141456
38	0.3724877359
39	0.3709591607
40	0.369882908
41	0.3688596742
42	0.3675420201
43	0.3659424236
44	0.3649312566
45	0.3633121422
46	0.3623916669
47	0.361288815
48	0.3601688593
49	0.3590430994
50	0.3582888245
51	0.3574095473
52	0.3563518342
53	0.3553972423554	0.3545272015555	0.3538825353556	0.353302932
57	0.35251396
5858	0.3388103585959	0.337791545660	0.337307750861	0.3492632979
62	0.3487174311
63	0.3478586417
64	0.3477878402
665	0.3343771082666	0.333854921
67	0.3330144568
68	0.3322827151
69	0.3316774667
70	0.3310318539
71	0.3306202458
72	0.329957192
73	0.3294675508
74	0.3290473048
75	0.3284472216
76	0.3281332491
77	0.3280289285
78	0.327973545
79	0.3273843687
80	0.3267403189
81	0.326339925
82	0.3261121138
83	0.3255788169
84	0.32509957
85	0.324645234
86	0.3243035438
87	0.3240660735
88	0.3236982462
89	0.3231302498
90	0.3227867286
91	0.3223227206
92	0.3219175279
93	0.3218300674
94	0.3214690709
95	0.3211986145
96	0.3206785106
97	0.320023709
98	0.3196565837
99	0.3193527528
100	0.3191445949
101	0.3187803128
102	0.3183198146
103	0.3179155301
104	0.3176165305
105	0.3174515831
106	0.3174318671
107	0.3172798603
108	0.3169847415
109	0.3168004035
110	0.31645248
111	0.3161371142
112	0.3157834781
113	0.3156323928
114	0.3149763614
115	0.3145346526
116	0.3138412367
117	0.3134458588
118	0.3132669785
119	0.3128780636
120	0.3125235346
121	0.3124269572
122	0.3122689048
123	0.3120335493
124	0.311686508
125	0.3115512981
126	0.3111926686
127	0.3109151226
128	0.3107697812
129	0.3104227311
130	0.3102598021
131	0.3098804772
132	0.3097551476
133	0.3096131777
134	0.3089204324
135	0.3086561023
136	0.3083782765
137	0.3080000898
138	0.3075570998
139	0.3073143746
140	0.3072220378
141	0.3070937885
142	0.306905706
143	0.3065037017
144	0.3060446531
145	0.3057492934
146	0.3053235476
147	0.3051508084
148	0.3050962273
149	0.3048749857
150	0.3047497266
151	0.304391253
152	0.3040563496
153	0.3039079854
154	0.3035361032
155	0.3033056904
156	0.3031778711
157	0.3030430772
158	0.3028079108
159	0.3022433809
160	0.3018782837
161	0.3015189186
162	0.3010220355
163	0.300709212
164	0.3005127816
165	0.3001843355
166	0.2999088214
167	0.2995694003
168	0.2993839442
169	0.2990747292
170	0.2989317397
171	0.298659137
172	0.2984712935
173	0.2981820892
174	0.2978786426
175	0.2976841281
176	0.2974279792
177	0.2973014614
178	0.2967194815
179	0.2964005332
180	0.2962733525
181	0.2959684708
182	0.2956396381
183	0.2954128493
184	0.295058174
185	0.2947191949
186	0.2946104059
187	0.2943977419
188	0.2941318196
189	0.2939742474
190	0.2934113629
191	0.2932229981
192	0.2929981731
193	0.2925935262
194	0.2920407909
195	0.2917517964
196	0.2915355775
197	0.2912231065
198	0.291012083
199	0.2909156893
200	0.2904554509
201	0.2898906892
202	0.2895748324
203	0.2894208387
204	0.288970112
205	0.2888373814
206	0.2884867721
207	0.2881959373
208	0.2879991096
209	0.2877177015
210	0.2875415309
211	0.2869573437
212	0.2866544645
213	0.2865159517
214	0.2863755183
215	0.2861989122
216	0.286063196
217	0.2854889278
218	0.2853423398
219	0.285005898
220	0.2849343529
221	0.2847638903
222	0.2845630233
223	0.2845127267
224	0.284418585
225	0.2843291788
226	0.2841775674
227	0.2840026933
228	0.2838626009
229	0.2837226637
230	0.283693297
231	0.2834112033
232	0.2830813655
233	0.2828714346
234	0.282628707
235	0.2825423579
236	0.2822806932
237	0.2819584632
238	0.281713204
239	0.2814377597
240	0.2813170225
241	0.281164111
242	0.281091178
243	0.2808328891
244	0.2807447062
245	0.2806693972
246	0.2803750217
