iter	Passed	Remaining
0	0	344
1	0	410
2	1	380
3	1	403
4	1	350
5	2	373
6	2	383
7	3	402
8	3	411
9	4	447
10	5	460
11	5	459
12	6	462
13	6	492
14	7	474
15	7	471
16	8	465
17	8	473
18	9	489
19	9	486
20	10	478
21	10	473
22	11	474
23	11	459
24	11	463
25	12	452
26	12	444
27	12	440
28	12	432
29	129	41	30	1430	4231	14	31	54	1642
32	57	1671
33	58	1657
34	59	1645
35	60	1608
36	60	1577
37	63	1596
38	63	1557
39	63	1529
40	65	1520
41	65	1494
42	66	1469
43	66	1453
44	68	1447
45	68	1424
46	70	1419
47	71	1418
48	72	151	449	73	52	46	831
53	47	823
54	47	815
55	47	808
56	49	812
57	50	816
58	50	810
59	51	808
60	51	797
61	52	791
62	53	788
63	54	792
64	54	787
65	55	787
66	56	782
67	57	794
68	60	811
69	62	829
70	62	823
71	63	817
72	67	862
73	72	906
74	73	901
75	73	898
76	78	937
77	78	927
78	78	919
79	79	917
80	80	910
81	81	915
82	82	912
83	83	908
84	84	911
85	85	904
86	86	905
87	86	899
88	87	897
89	88	895
90	89	894
91	90	895
92	91	892
93	91	885
94	92	881
95	93	876
96	93	872
97	95	878
98	96	876
99	97	877
100	98	874
101	98	870
102	99	868
103	100	868
104	101	869
105	102	864
106	102	857
107	103	856
108	104	853
109	105	851
110	105	847
111	106	844
112	106	839
113	108	842
114	109	840
115	109	836
116	110	832
117	110	829
118	111	825
119	112	821
120	112	817
121	113	813
122	114	813
123	114	809
124	115	806
125	115	803
126	116	799
127	116	794
128	117	791
129	117	788
130	118	784
131	118	779
132	118	775
133	119	772
134	120	769
135	120	765
136	120	762
137	121	760
138	122	758
139	123	757
140	123	752
141	124	750
142	125	749
143	125	746
144	126	742
145	126	741
146	127	739
147	128	737
148	128	733
149	128	730
150	129	727
151	129	723
152	130	720
153	130	717
154	130	714
155	131	710
156	131	707
157	132	705
158	132	703
159	133	700
160	133	697
161	134	696
162	135	697
163	136	695
164	136	692
165	137	690
166	138	689
167	138	687
168	139	685
169	139	683
170	140	681
171	141	679
172	141	677
173	142	675
174	142	672
175	143	670
176	143	667
177	143	664
178	144	662
179	144	659
180	145	656
181	145	653
182	145	651
183	146	649
184	146	646
185	147	643
186	147	641
187	147	638
188	148	636
189	148	633
190	149	631
191	149	629
192	150	627
193	150	624
194	150	622
195	151	619
196	151	617
197	151	615
198	152	613
199	152	611
200	153	610
201	154	608
202	154	607
203	155	605
204	155	603
205	156	601
206	156	601
207	157	599
208	157	596
209	158	594
210	158	592
211	158	590
212	159	588
213	159	585
214	159	583
215	159	580
216	160	579
217	160	577
218	161	575
219	161	573
220	162	574
221	163	572
222	163	570
223	164	568
224	164	567
225	165	565
226	165	563
227	165	561
228	166	559
229	166	557
230	167	555
231	167	554
232	167	552
233	168	550
234	168	548
235	168	546
236	169	544
237	169	543
238	170	542
239	170	540
240	171	538
241	171	536
242	171	535
243	172	534
244	173	533
245	173	532
246	174	531
247	174	529
248	174	527
249	175	526
250	175	524
251	176	522
252	176	520
253	176	519
254	177	517
255	177	516
256	178	515
257	178	513
258	179	512
259	179	510
260	179	509
261	180	508
262	181	507
263	181	505
264	182	505
265	182	503
266	182	502
267	183	500
268	183	499
269	184	498
270	184	497
271	185	496
272	185	495
273	186	494
274	187	493
275	187	491
276	187	490
277	188	489
278	189	488
279	189	487
280	190	486
281	190	485
282	191	484
283	191	483
284	192	482
285	192	481
286	193	480
287	193	479
288	194	479
289	195	478
290	195	476
291	196	475
292	196	473
293	196	472
294	197	471
295	197	469
296	197	468
297	198	467
298	199	466
